instruction,input,output
Interpret OBD-II code P0563,,A/C pressure sensor low voltage(Chrysler)
Interpret OBD-II code P0565,,System Voltage High
Interpret OBD-II code P0566,,Cruise Control On Signal Malfunction
Interpret OBD-II code P0567,,Cruise Control Off Signal Malfunction
Interpret OBD-II code P0568,,Cruise Control Resume Signal Malfunction
Interpret OBD-II code P0569,,Cruise Control Set Signal Malfunction
Interpret OBD-II code P0570,,Cruise Control Coast Signal Malfunction
Interpret OBD-II code P0571,,Cruise Control Accel Signal Malfunction
Interpret OBD-II code P0572,,Cruise Control/Brake Switch A Circuit Malfunction
Interpret OBD-II code P0573,,Cruise Control/Brake Switch A Circuit Low
Interpret OBD-II code P0574,,Cruise Control/Brake Switch A Circuit High
Interpret OBD-II code P0575,,Cruise Control Related Malfunction
Interpret OBD-II code P0576,,Cruise Control Related Malfunction
Interpret OBD-II code P0578,,Cruise Control Related Malfunction
Interpret OBD-II code P0579,,Cruise Control Related Malfunction
Interpret OBD-II code P0580,,Cruise Control Related Malfunction
Interpret OBD-II code P0600,,Cruise Control Related Malfunction
Interpret OBD-II code P0601,,Serial Communication Link Malfunction
Interpret OBD-II code P0602,,Control Module Read Only Memory(ROM)
Interpret OBD-II code P0603,,Control Module Programming Error
Interpret OBD-II code P0604,,Internal Control Module Keep Alive Memory (KAM) Error
Interpret OBD-II code P0605,,Internal Control Module Random Access Memory (RAM) Error
Interpret OBD-II code P0606,,Internal Control Module Read Only Memory (ROM) Error
Interpret OBD-II code P0608,,PCM Processor Fault
Interpret OBD-II code P0609,,"Control Module VSS Output ""A"" Malfunction"
Interpret OBD-II code P0620,,"Control Module VSS Output ""B"" Malfunction"
Interpret OBD-II code P0621,,Generator Control Circuit Malfunction
Interpret OBD-II code P0622,,"Generator Lamp ""L"" Control Circuit Malfunction"
Interpret OBD-II code P0650,,"Generator Field ""F"" Control Circuit Malfunction"
Interpret OBD-II code P0654,,Malfunction Indicator Lamp (MIL) Control Circuit Malfunction
Interpret OBD-II code P0655,,Engine RPM Output Circuit Malfunction
Interpret OBD-II code P0656,,Engine Hot Lamp Output Control Circuit Malfucntion
Interpret OBD-II code P0700,,Fuel Level Output Circuit Malfunction
Interpret OBD-II code P0701,,Transmission Control System Malfunction
Interpret OBD-II code P0702,,Transmission Control System Range/Performance
Interpret OBD-II code P0703,,Transmission Control System Electrical
Interpret OBD-II code P0704,,Torque Converter/Brake Switch B Circuit Malfunction
Interpret OBD-II code P0705,,Clutch Switch Input Circuit Malfunction
Interpret OBD-II code P0706,,Transmission Range Sensor Circuit malfunction (PRNDL Input)
Interpret OBD-II code P0707,,Transmission Range Sensor Circuit Range/Performance
Interpret OBD-II code P0708,,Transmission Range Sensor Circuit Low Input
Interpret OBD-II code P0709,,Transmission Range Sensor Circuit High Input
Interpret OBD-II code P0710,,Transmission Range Sensor Circuit Intermittent
Interpret OBD-II code P0711,,Transmission Fluid Temperature Sensor Circuit Malfunction
Interpret OBD-II code P0712,,Transmission Fluid Temperature Sensor Circuit Range/Performance
Interpret OBD-II code P0713,,Transmission Fluid Temperature Sensor Circuit Low Input
Interpret OBD-II code P0714,,Transmission Fluid Temperature Sensor Circuit High Input
Interpret OBD-II code P0715,,Transmission Fluid Temperature Sensor Circuit Intermittent
Interpret OBD-II code P0716,,Input/Turbine Speed Sensor Circuit Malfunction
Interpret OBD-II code P0717,,Input/Turbine Speed Sensor Circuit Range/Performance
Interpret OBD-II code P0718,,Input/Turbine Speed Sensor Circuit No Signal
Interpret OBD-II code P0719,,Input/Turbine Speed Sensor Circuit Intermittent
Interpret OBD-II code P0720,,Torque Converter/Brake Switch B Circuit Low
Interpret OBD-II code P0721,,Output Speed Sensor Circuit Malfunction
Interpret OBD-II code P0722,,Output Speed Sensor Range/Performance
Interpret OBD-II code P0723,,Output Speed Sensor No Signal
Interpret OBD-II code P0724,,Output Speed Sensor Intermittent
Interpret OBD-II code P0725,,Torque Converter/Brake Switch B Circuit High
Interpret OBD-II code P0726,,Engine Speed input Circuit Malfunction
Interpret OBD-II code P0727,,Engine Speed Input Circuit Range/Performance
Interpret OBD-II code P0728,,Engine Speed Input Circuit No Signal
Interpret OBD-II code P0730,,Engine Speed Input Circuit Intermittent
Interpret OBD-II code P0731,,Incorrect Gear Ratio
Interpret OBD-II code P0732,,Gear 1 Incorrect ratio
Interpret OBD-II code P0733,,Gear 2 Incorrect ratio
Interpret OBD-II code P0734,,Gear 3 Incorrect ratio
Interpret OBD-II code P0735,,Gear 4 Incorrect ratio
Interpret OBD-II code P0736,,Gear 5 Incorrect ratio
Interpret OBD-II code P0740,,Reverse incorrect gear ratio
Interpret OBD-II code P0741,,Torque Converter Clutch Circuit Malfuction
Interpret OBD-II code P0742,,Torque Converter Clutch Circuit Performance or Stuck Off
Interpret OBD-II code P0743,,Torque Converter Clutch Circuit Stuck On
Interpret OBD-II code P0744,,Torque Converter Clutch Circuit Electrical
Interpret OBD-II code P0745,,Torque Converter Clutch Circuit Intermittent
Interpret OBD-II code P0746,,Pressure Control Solenoid Malfunction
Interpret OBD-II code P0747,,Pressure Control Solenoid Performance or Stuck Off
Interpret OBD-II code P0748,,Pressure Control Solenoid Stuck On
Interpret OBD-II code P0749,,Pressure Control Solenoid Electrical
Interpret OBD-II code P0750,,Pressure Control Solenoid Intermittent
Interpret OBD-II code P0751,,Shift Solenoid A Malfunction
Interpret OBD-II code P0752,,Shift Solenoid A Performance or Stuck Off/
Interpret OBD-II code P0753,,1-2 Shift Solenoid Valve Performance
Interpret OBD-II code P0754,,Shift Solenoid A Stuck On
Interpret OBD-II code P0755,,Shift Solenoid A Electrical/
Interpret OBD-II code P0756,,1-2 Shift Solenoid Circuit Electrical
Interpret OBD-II code P0757,,Shift Solenoid A Intermittent
Interpret OBD-II code P0758,,Shift Solenoid B Malfunction
Interpret OBD-II code P0759,,Shift Solenoid B Performance or Stuck Off/
Interpret OBD-II code P0760,,2-3 Shift Solenoid Valve Performance
Interpret OBD-II code P0761,,Shift Solenoid B Stuck On
Interpret OBD-II code P0762,,Shift Solenoid B Electrical/ 2-3 Shift Solenoid Circuit Electrical
Interpret OBD-II code P0763,,Shift Solenoid B Intermittent
Interpret OBD-II code P0764,,Shift Solenoid C Malfunction
Interpret OBD-II code P0765,,Shift Solenoid C Performance or Stuck Off
Interpret OBD-II code P0766,,Shift Solenoid C Stuck On
Interpret OBD-II code P0767,,Shift Solenoid C Electrical
Interpret OBD-II code P0768,,Shift Solenoid C Intermittent
Interpret OBD-II code P0769,,Shift Solenoid D Malfunction
Interpret OBD-II code P0770,,Shift Solenoid D Performance or Stuck Off
Interpret OBD-II code P0771,,Shift Solenoid D Stuck On
Interpret OBD-II code P0772,,Shift Solenoid D Electrical
Interpret OBD-II code P0773,,Shift Solenoid D Intermittent
Interpret OBD-II code P0774,,Shift Solenoid E Malfunction
Interpret OBD-II code P0775,,Shift Solenoid E Performance or Stuck Off
Interpret OBD-II code P0776,,Shift Solenoid E Stuck On
Interpret OBD-II code P0777,,Shift Solenoid E Electrical
Interpret OBD-II code P0778,,Shift Solenoid E Intermittent
Interpret OBD-II code P0779,,Pressure Control Solenoid B Malfunction
Interpret OBD-II code P0780,,Pressure Control Solenoid B Performance
Interpret OBD-II code P0781,,Pressure Control Solenoid B Stuck On
Interpret OBD-II code P0782,,Pressure Control Solenoid B Electrical
Interpret OBD-II code P0783,,Pressure Control Solenoid B Intermittent
Interpret OBD-II code P0784,,Shift Malfunction
Interpret OBD-II code P0785,,1-2 Shift Malfunction
Interpret OBD-II code P0786,,2-3 Shift Malfunction
Interpret OBD-II code P0787,,3-4 Shift Malfunction
Interpret OBD-II code P0788,,4-5 Shift Malfunction
Interpret OBD-II code P0789,,Shift/Timing Solenoid Malfunction/ 3-2 Shift Solenoid Circuit Electrical
Interpret OBD-II code P0790,,Shift/Timing Solenoid Range/Performance
Interpret OBD-II code P0801,,Shift/Timing Solenoid Low
Interpret OBD-II code P0803,,Shift/Timing Solenoid High
Interpret OBD-II code P0804,,Shift/Timing Solenoid Intermittent
Interpret OBD-II code P1100,,Normal/Performance Switch Circuit Malfunction
Interpret OBD-II code P1101,,Reverse Inhibit Control Circuit Malfunction
Interpret OBD-II code P1102,,1-4 Upshift (Skip Shift) Solenoid Control Circuit Malfunction
Interpret OBD-II code P1103,,1-4 Upshift (Skip Shift) Lamp Control Circuit Malfunction
Interpret OBD-II code P1104,,MAF Sensor Intermittent/ Check of all OBDII Systems Not Complete
Interpret OBD-II code P1105,,MAF Sensor Out Of Self Test Range./
Interpret OBD-II code P1106,,KOER Not Able To Complete  KOER Aborted
Interpret OBD-II code P1107,,MAF Sensor In Range But Lower Than Expected
Interpret OBD-II code P1108,,MAF Sensor In Range But Higher Than Expected
Interpret OBD-II code P1109,,MAF Ground Malfunction
Interpret OBD-II code P1110,,Dual Alternator Upper Fault
Interpret OBD-II code P1111,,Dual Alternator Lower Fault/ Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent High Voltage
Interpret OBD-II code P1112,,Dual Alternator Lower Circuit Malfunction/ Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent Low Voltage
Interpret OBD-II code P1113,,Dual Alternator Battery Lamp Circuit Malfunction
Interpret OBD-II code P1114,,IAT - B Sensor Intermittent
Interpret OBD-II code P1115,,IAT Sensor (D/C) Open/Short
Interpret OBD-II code P1116,,Intake Air Temperature (IAT) Sensor Circuit Intermittent High Voltage
Interpret OBD-II code P1117,,Intake Air Temperature (IAT) Sensor Circuit Intermittent Low Voltage
Interpret OBD-II code P1118,,IAT Sensor Open/Short
Interpret OBD-II code P1119,,Engine Coolant Temperature (ECT) Sensor Circuit Intermittent Low Voltage/IAT - B Circuit Low Input
Interpret OBD-II code P1120,,Engine Coolant Temperature (ECT) Sensor Circuit Intermittent High Voltage/IAT - B Circuit High Input
Interpret OBD-II code P1121,,Engine Coolant sensor out of range/ECT Sensor Out Of Self Test Range
Interpret OBD-II code P1122,,Engine Coolant Sensor intermittent/ECT Sensor Intermittent
Interpret OBD-II code P1123,,Manifold Absolute Temperature Circuit Low Input
Interpret OBD-II code P1124,,Manifold Absolute Temperature Circuit High Input
Interpret OBD-II code P1125,,Throttle position sensor out of range
Interpret OBD-II code P1126,,Throttle Position (TP) Sensor Circuit Intermittent High Voltage
Interpret OBD-II code P1127,,Throttle Position (TP) Sensor Circuit Intermittent Low Voltage
Interpret OBD-II code P1128,,Throttle Position Sensor In Range But Higher Than Expected
Interpret OBD-II code P1129,,Throttle Position Sensor Out Of Self Test Range
Interpret OBD-II code P1130,,Throttle position sensor intermittent
Interpret OBD-II code P1131,,Throttle Position (Narrow Range) Sensor Circuit Malfunction
Interpret OBD-II code P1132,,Exhaust Not Warm
Interpret OBD-II code P1133,,Upstream Heated O2 Sensors Swapped
Interpret OBD-II code P1134,,Downstream Heated O2 Sensors Swapped
Interpret OBD-II code P1135,,Lack Of HO2S Switch - Adaptive Fuel At Limit
Interpret OBD-II code P1136,,Lack Of HO2S Switch - Sensor Indicates Lean
Interpret OBD-II code P1137,,Lack Of HO2S Switch - Sensor Indicates Rich
Interpret OBD-II code P1138,,HO2S Insufficient Switching Sensor 1
Interpret OBD-II code P1139,,HO2S Transition Time Ratio Sensor 1
Interpret OBD-II code P1140,,Pedal Position Sensor A Circuit Intermittent
Interpret OBD-II code P1141,,Fan Control Circuit Malfunction
Interpret OBD-II code P1142,,Lack Of HO2S Switch - Sensor Indicates Lean
Interpret OBD-II code P1143,,Lack Of HO2S12 Switch - Sensor Indicates Rich
Interpret OBD-II code P1144,,Water In Fuel Indicator Circuit Malfunction
Interpret OBD-II code P1150,,Water In Fuel Condition
Interpret OBD-II code P1151,,Fuel Restriction Indicator Circuit Malfunction
Interpret OBD-II code P1152,,Fuel Restriction Condition
Interpret OBD-II code P1153,,Air Assist Control Valve Range/Performance
Interpret OBD-II code P1154,,Air Assist Control Valve Circuit Malfunction
Interpret OBD-II code P1155,,Lack Of HO2S21 Switch - Adaptive Fuel At Limit
Interpret OBD-II code P1156,,Lack Of HO2S21 Switch - Sensor Indicates Lean
Interpret OBD-II code P1157,,Lack Of HO2S21 Switch - Sensor Indicates Rich
Interpret OBD-II code P1158,,Bank 2 Fuel Control Shifted Lean
Interpret OBD-II code P1159,,Bank 2 Fuel Control Shifted Rich
Interpret OBD-II code P1167,,Alternative Fuel Controller
Interpret OBD-II code P1168,,Fuel Select Switch Malfunction
Interpret OBD-II code P1169,,Lack Of HO2S22 Switch - Sensor Indicates Lean
Interpret OBD-II code P1170,,Lack Of HO2S22 Switch - Sensor Indicates Rich
Interpret OBD-II code P1171,,Fuel Stepper Motor Malfunction
Interpret OBD-II code P1172,,Invalid Test
Interpret OBD-II code P1173,,Fuel Rail Sensor In-Range Low Failure
Interpret OBD-II code P1174,,Fuel Rail Sensor In-Range High Failure
Interpret OBD-II code P1175,,ESO - Engine Shut Off Solenoid Fault
Interpret OBD-II code P1176,,Rotor Sensor Fault
Interpret OBD-II code P1177,,Rotor Control Fault
Interpret OBD-II code P1178,,Rotor Calibration Fault
Interpret OBD-II code P1180,,Cam Sensor Fault
Interpret OBD-II code P1181,,Cam Control Fault
Interpret OBD-II code P1182,,Cam Calibration Fault
Interpret OBD-II code P1183,,Synchronization Fault
Interpret OBD-II code P1184,,( open )
Interpret OBD-II code P1185,,Fuel Delivery System Malfunction - Low
Interpret OBD-II code P1186,,Fuel Delivery System Malfunction - High
Interpret OBD-II code P1187,,Fuel Shut Off Solenoid Malfunction
Interpret OBD-II code P1188,,Engine Oil Temperature Circuit Malfunction
Interpret OBD-II code P1189,,Engine Oil Temperature Out Of Self Test Range
Interpret OBD-II code P1190,,FTS High - Fuel Pump Temperature Sensor High
Interpret OBD-II code P1191,,FTS Low - Fuel Pump Temperature Sensor Low
Interpret OBD-II code P1192,,Variant Selection
Interpret OBD-II code P1193,,Calibration Memory Fault
Interpret OBD-II code P1194,,Pump Speed Signal Fault
Interpret OBD-II code P1195,,Calibration Resistor Out Of Range
Interpret OBD-II code P1196,,Key Line Voltage
Interpret OBD-II code P1197,,Voltage External
Interpret OBD-II code P1198,,EGR Drive Overcurrent
Interpret OBD-II code P1199,,ECU A/D Converter
Interpret OBD-II code P1200,,SCP HBCC Failed To Initialize
Interpret OBD-II code P1201,,Key Off Voltage High
Interpret OBD-II code P1202,,Key Off Voltage Low
Interpret OBD-II code P1203,,Pump Rotor Control Underfueling
Interpret OBD-II code P1204,,Fuel Level Input Circuit Low
Interpret OBD-II code P1205,,Injector Control Circuit
Interpret OBD-II code P1206,,Injector Circuit Open / Shorted - Cylinder #1
Interpret OBD-II code P1209,,Injector Circuit Open / Shorted - Cylinder #2
Interpret OBD-II code P1210,,Injector Circuit Open / Shorted - Cylinder #3
Interpret OBD-II code P1211,,Injector Circuit Open / Shorted - Cylinder #4
Interpret OBD-II code P1212,,Injector Circuit Open / Shorted - Cylinder #5
Interpret OBD-II code P1213,,Injector Circuit Open / Shorted - Cylinder #6
Interpret OBD-II code P1214,,Injector Control Pressure System Fault
Interpret OBD-II code P1215,,Injector Control Pressure Above Expected Level
Interpret OBD-II code P1216,,Injector Control Pressure Sensor Above / Below Desired
Interpret OBD-II code P1217,,Injector Control Pressure Not Detected During Crank
Interpret OBD-II code P1218,,Start Injector Circuit Malfunction
Interpret OBD-II code P1219,,Pedal Position Sensor B Circuit Intermittent
Interpret OBD-II code P1220,,Pedal Position Sensor C Circuit Low Input
Interpret OBD-II code P1221,,Pedal Position Sensor C Circuit High Input
Interpret OBD-II code P1222,,Pedal Position Sensor C Circuit Intermittent
Interpret OBD-II code P1223,,CID High
Interpret OBD-II code P1224,,CID Low
Interpret OBD-II code P1225,,Series Throttle Control System Malfunction
Interpret OBD-II code P1226,,Traction Control System Malfunction
Interpret OBD-II code P1227,,Traction Control Output Circuit Malfunction
Interpret OBD-II code P1228,,Pedal Demand Sensor B Circuit High Input
Interpret OBD-II code P1229,,Throttle Position Sensor B Out Of Self Test Range
Interpret OBD-II code P1230,,Needle Lift Sensor Malfunction
Interpret OBD-II code P1231,,Control Sleeve Sensor Malfunction
Interpret OBD-II code P1232,,Wastegate Failed Closed (Over Pressure)
Interpret OBD-II code P1233,,Wastegate Failed Open (Under Pressure)
Interpret OBD-II code P1234,,Intercooler Pump Driver Fault
Interpret OBD-II code P1235,,Fuel Pump Low Speed Malfunction
Interpret OBD-II code P1236,,Fuel Pump Secondary Circuit Low
Interpret OBD-II code P1237,,Fuel Pump Speed Primary Circuit Malfunction
Interpret OBD-II code P1238,,Fuel Pump Driver Module Off Line
Interpret OBD-II code P1239,,Fuel Pump Driver Module Off Line
Interpret OBD-II code P1240,,Fuel Pump Control Out Of Range
Interpret OBD-II code P1241,,Fuel Pump Control Out Of Range
Interpret OBD-II code P1242,,Fuel Pump Secondary Circuit Malfunction
Interpret OBD-II code P1243,,Fuel Pump Secondary Circuit Malfunction
Interpret OBD-II code P1244,,Speed Fuel Pump Positive Feed Fault
Interpret OBD-II code P1245,,Sensor Power Supply Malfunction
